username,film_title,rating
edmundored,the-dead-dont-die-2019,1.5
edmundored,the-father-2020,4.0
edmundored,baby-driver,3.0
edmundored,nomadland,2.5
edmundored,the-devil-all-the-time,2.0
edmundored,arrival-2016,4.0
edmundored,wargames,3.5
edmundored,parasite-2019,4.5
edmundored,news-of-the-world,3.0
edmundored,the-trial-of-the-chicago-7,4.0
edmundored,la-la-land,4.0
edmundored,the-dig-2021,3.5
edmundored,sorry-to-bother-you,2.5
edmundored,scott-pilgrim-vs-the-world,4.0
edmundored,ex-machina-2015,3.0
edmundored,american-psycho,3.5
edmundored,no-country-for-old-men,5.0
edmundored,good-time,2.0
edmundored,the-conjuring,3.0
edmundored,zodiac,3.5
edmundored,johnny-english-strikes-again,2.0
edmundored,inside-man,2.5
edmundored,primal-fear,4.0
edmundored,avatar,2.5
edmundored,return-of-the-jedi,3.0
edmundored,the-theory-of-everything-2014,2.5
edmundored,lost-in-translation,3.5
edmundored,inception,4.0
edmundored,tenet,3.0
edmundored,interstellar,3.0
edmundored,blackkklansman,4.0
edmundored,lincoln,3.5
edmundored,the-shawshank-redemption,4.5
edmundored,happy-feet,1.5
edmundored,bee-movie,2.5
edmundored,alvin-and-the-chipmunks,0.5
edmundored,minions,1.0
edmundored,despicable-me-3,1.0
edmundored,despicable-me-2,1.5
edmundored,despicable-me,3.0
edmundored,national-theatre-live-the-lehman-trilogy,4.0
edmundored,airplane,3.0
edmundored,g-force,1.0
edmundored,meet-the-parents,2.0
edmundored,snow-white-and-the-huntsman,0.5
edmundored,rbg,3.0
edmundored,johnny-english-reborn,2.5
edmundored,johnny-english,2.5
edmundored,spider-man-homecoming,3.0
edmundored,dr-no,2.0
edmundored,scooby-doo,0.5
edmundored,pirates-of-the-caribbean-the-curse-of-the-black-pearl,2.5
edmundored,cloudy-with-a-chance-of-meatballs,2.0
edmundored,the-hunger-games,2.5
edmundored,all-quiet-on-the-western-front-1979,2.0
edmundored,octopussy,1.0
edmundored,eddie-the-eagle,2.5
edmundored,apollo-11-2019,2.5
edmundored,look-whos-back-2015,3.0
edmundored,jason-bourne,2.5
edmundored,top-gun,2.5
edmundored,bridge-of-spies,4.0
edmundored,the-secret-life-of-walter-mitty-2013,1.5
edmundored,ted,2.0
edmundored,murder-on-the-orient-express-2017,3.0
edmundored,life-of-brian,3.0
edmundored,sherlock-holmes-2009,0.5
edmundored,spectre-2015,2.0
edmundored,kingsman-the-secret-service,3.5
edmundored,the-kings-speech,3.5
edmundored,life-of-pi,2.5
edmundored,pokemon-detective-pikachu,1.5
edmundored,extraction-2020,3.0
edmundored,mission-impossible-ii,2.5
edmundored,mission-impossible,3.0
edmundored,deepwater-horizon,3.5
edmundored,from-russia-with-love,2.5
edmundored,carry-on-2024,1.0
edmundored,going-in-style-2017,3.0
edmundored,quantum-of-solace,2.0
edmundored,wallace-gromit-vengeance-most-fowl,3.5
edmundored,the-wild-robot,4.0
edmundored,paddington-in-peru,3.0
